name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"washington, dc",2023-01-01,61.4,43.5,51.8,61.4,41.7,51.2,46.2,82.2,0.004,100,4.17,rain,0,0,13.9,8.8,199.3,1015.4,47.7,9.1,100.5,8.7,4,10,2023-01-01T07:26:52,2023-01-01T16:56:42,0.32,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-02,63,40,50.9,63,36.3,50.2,44.2,79.3,0,0,0,,0,0,10.3,9.1,190.8,1019.8,87.8,9.8,65.3,5.7,4,10,2023-01-02T07:26:59,2023-01-02T16:57:31,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-03,68,50.1,59.3,68,50.1,59.3,52.3,78.5,0,0,0,,0,0,29.3,17.7,196.2,1014.1,90.8,9.7,38.6,3.4,2,10,2023-01-03T07:27:04,2023-01-03T16:58:22,0.39,Overcast,Cloudy skies throughout the day.,cloudy,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-04,65,53.3,59.5,65,53.3,59.5,55,85.4,0,0,0,,0,0,31.1,14.1,194.4,1010.4,85.2,9.9,32.2,2.8,2,10,2023-01-04T07:27:07,2023-01-04T16:59:14,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-05,64,49.6,56.4,64,45.1,55.9,46,70.4,0,0,0,,0,0,13.9,12.6,231.5,1013.3,75.8,9.9,71.1,6,4,10,2023-01-05T07:27:08,2023-01-05T17:00:08,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-06,51.9,43.7,48.1,51.9,39.3,44.7,32.2,55.1,0,0,0,,0,0,33.2,21.2,317.5,1018.3,88.5,9.9,60.1,5.1,4,10,2023-01-06T07:27:07,2023-01-06T17:01:03,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-07,50.9,37.8,43.9,50.9,31.7,39.1,26.3,50.8,0,0,0,,0,0,23,15.4,301.7,1024.6,61,9.9,83.2,7.1,5,10,2023-01-07T07:27:04,2023-01-07T17:01:59,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-08,43.8,31.5,38,42,25.2,33.4,27.5,66.3,0.011,100,4.17,rain,0,0,13.9,16.6,217.1,1026,59.7,9.8,55.3,4.7,3,10,2023-01-08T07:26:58,2023-01-08T17:02:56,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-09,50.9,36.9,42.5,50.9,30.8,38,28.7,61.7,0,0,0,,0,0,31.2,17.1,309.8,1017.2,31.7,9.4,113.5,10,5,10,2023-01-09T07:26:51,2023-01-09T17:03:54,0.59,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-10,46.9,34.2,40.3,46.9,27,37.2,25.8,57.1,0,0,0,,0,0,15,9.8,286,1018.9,60.5,9.9,70.3,6.1,3,10,2023-01-10T07:26:41,2023-01-10T17:04:53,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-11,46.8,32.3,39.9,42.9,26.4,37.2,31.6,72.9,0.019,100,4.17,rain,0,0,15,10.8,135.9,1022,72.8,9.6,61,5.2,3,10,2023-01-11T07:26:29,2023-01-11T17:05:54,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-12,55,40.6,47.2,55,37.1,46.2,42.6,84.2,0.127,100,16.67,rain,0,0,31.1,10.5,183.3,1014.7,95.3,9.2,47.2,4.2,3,10,2023-01-12T07:26:15,2023-01-12T17:06:55,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-13,54.9,39.7,48.3,54.9,31.1,43.9,37.8,68.3,0.25,100,25,rain,0,0,33.3,22.7,310.1,1005.7,83.5,9.7,109.4,9.6,5,10,2023-01-13T07:25:59,2023-01-13T17:07:57,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-14,39.6,31.8,35.9,31,20.8,25.5,22.6,58,0,0,0,"rain,snow",0,0,34.8,24.4,337.2,1012.9,98.8,9.9,26.2,2.3,1,10,2023-01-14T07:25:41,2023-01-14T17:09:00,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-15,45.9,29,36.3,39.2,17.8,27.5,19.5,51.5,0,0,0,"rain,snow",0,0,30.6,20.3,334.9,1019,17.9,9.9,120.5,10.3,5,10,2023-01-15T07:25:21,2023-01-15T17:10:04,0.79,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-16,54.9,30.3,41.8,54.9,21.5,38.2,16.4,39,0,0,0,"rain,snow",0,0,21.9,14.8,318.9,1016.2,36.7,9.9,116.7,10.2,5,10,2023-01-16T07:24:58,2023-01-16T17:11:08,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-17,45,37.7,41.3,44.9,35.7,39.1,36.6,83.8,0.056,100,20.83,rain,0,0,12.8,8,186,1007.9,90.5,8.6,28.2,2.5,1,10,2023-01-17T07:24:34,2023-01-17T17:12:14,0.86,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-18,58.9,38.8,47.9,58.9,35,45.6,38.7,73.3,0,0,0,rain,0,0,24.2,14.7,316.9,1012.7,42.8,9.2,114,10,5,10,2023-01-18T07:24:07,2023-01-18T17:13:19,0.89,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-19,46.8,42.6,44.7,46.8,39.6,42.9,39.2,81.5,0.077,100,33.33,rain,0,0,12.8,9.9,72.8,1011.5,97.9,8.3,15.9,1.4,1,10,2023-01-19T07:23:39,2023-01-19T17:14:26,0.93,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-20,51.8,40.9,46.1,51.8,35.6,42,32.2,61.6,0,0,0,,0,0,35.9,23.4,291.9,1010.9,75.8,8.3,94.9,8.2,4,10,2023-01-20T07:23:08,2023-01-20T17:15:33,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-21,43.9,35.1,41.1,40.5,33,36.7,26.1,55.3,0,0,0,,0,0,21.9,13.5,307.8,1022.4,78.7,9.9,36.2,3.1,1,10,2023-01-21T07:22:36,2023-01-21T17:16:40,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-22,42.8,33.4,37.8,39.2,29.6,34.3,33.1,83.1,0.234,100,33.33,rain,0,0,17.2,13.3,85.4,1017,89.3,8,21.4,1.8,1,10,2023-01-22T07:22:01,2023-01-22T17:17:48,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-23,46.9,38.8,42.1,40.4,33.1,35.7,32.9,71.8,0.085,100,29.17,rain,0,0,35.1,24.4,296.6,1009.7,96.2,9.2,55.8,4.7,2,10,2023-01-23T07:21:25,2023-01-23T17:18:56,0.06,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-24,51,32.7,41.2,51,27.6,37.6,25.7,56.3,0,0,0,,0,0,25.3,10.3,241.5,1023.6,62.4,9.9,119.3,10.4,5,10,2023-01-24T07:20:47,2023-01-24T17:20:05,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-25,47.1,35.5,40.8,46.1,31.2,37,35.4,81.6,0.477,100,50,rain,0,0,24.2,11.3,80.4,1016.3,95.8,7.3,12.8,1.2,0,10,2023-01-25T07:20:06,2023-01-25T17:21:14,0.13,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-26,49.7,40.7,44.9,45.9,35.9,40.5,30.9,60.6,0.001,100,4.17,rain,0,0,38,21.4,274.6,1008.6,75.2,9.8,51.5,4.4,3,10,2023-01-26T07:19:24,2023-01-26T17:22:23,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-27,45.7,32.3,39,40.9,27.2,34.5,21.2,50.1,0,0,0,,0,0,21.9,14.6,259.2,1020.8,46.9,9.9,107.9,9.4,5,10,2023-01-27T07:18:40,2023-01-27T17:23:33,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-28,57.6,34.5,44,57.6,27.5,40.7,26.8,52.2,0,0,0,,0,0,19.7,13.2,204.4,1025.3,59.2,9.9,112.6,9.8,5,10,2023-01-28T07:17:55,2023-01-28T17:24:42,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-29,49.8,40.6,44.8,44.8,35.9,40.3,35.4,70.1,0.035,100,12.5,rain,0,0,20.8,13.5,198.4,1023.7,80.2,9.8,35.6,3.1,2,10,2023-01-29T07:17:07,2023-01-29T17:25:52,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-30,60.9,40.9,48.5,60.9,40.9,48,40.9,76.6,0,0,0,,0,0,10.3,8.7,196.9,1021.2,64.1,9.8,99.3,8.5,5,10,2023-01-30T07:16:18,2023-01-30T17:27:02,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-01-31,47,36.9,41.4,46,30,36.6,37.6,86.6,0.165,100,25,rain,0,0,20.8,14.4,21.7,1022.1,85.5,8.8,14.3,1.1,1,10,2023-01-31T07:15:27,2023-01-31T17:28:12,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-02-01,40.7,32.5,35.6,37.4,23.9,29.1,21.6,59.4,0.043,100,12.5,"rain,snow",0.4,0,16.1,15.3,347.8,1025.5,81.8,9.1,130.3,11.2,6,10,2023-02-01T07:14:34,2023-02-01T17:29:21,0.36,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-02-02,41.8,31.3,36,36.8,28.1,32.2,22.5,59.2,0,0,0,,0,0,12.8,11.3,199.9,1021.8,94.5,9.9,87.7,7.5,4,10,2023-02-02T07:13:40,2023-02-02T17:30:31,0.4,Overcast,Cloudy skies throughout the day.,cloudy,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-02-03,40.7,19.8,31.7,34.1,4.3,20.7,10.5,43.4,0,0,0,,0,0,42.7,28.1,317.1,1021.4,54.6,9.9,143.9,12.5,6,10,2023-02-03T07:12:44,2023-02-03T17:31:41,0.43,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
"washington, dc",2023-02-04,31.9,16.9,24.5,23,2.6,15.1,2.1,37.9,0,0,0,,0,0,30.6,16.9,221.9,1035.2,27.8,9.9,150.7,13.1,6,10,2023-02-04T07:11:46,2023-02-04T17:32:51,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,AS365,74594013705"
